position	var_name	gene_symbol	marker_name	ensembl_gene_id	highly_variable
31103	GAA	GAA	gaa-1	ENSDARG00000116493	0
31104	BX510654.2	BX510654.2	bx510654.2	ENSDARG00000116494	0
31105	phyhip	phyhip	phyhip	ENSDARG00000116497	0
31106	BX005361.6	BX005361.6	bx005361.6	ENSDARG00000116500	0
31107	FQ378040.1	FQ378040.1	fq378040.1	ENSDARG00000116503	0
31108	CU570797.15	CU570797.15	cu570797.15	ENSDARG00000116506	0
31109	BX539310.1	BX539310.1	bx539310.1	ENSDARG00000116510	0
31110	npas4l	npas4l	npas4l	ENSDARG00000116511	0
31111	CR792441.7	CR792441.7	cr792441.7	ENSDARG00000116512	0
31112	CR938717.1	CR938717.1	cr938717.1	ENSDARG00000116513	0
31113	CR450787.2	CR450787.2	cr450787.2	ENSDARG00000116514	0
31114	BX649628.4	BX649628.4	bx649628.4	ENSDARG00000116515	0
31115	si:dkey-23f9.9	si:dkey-23f9.9	si:dkey-23f9.9	ENSDARG00000116521	0
31116	zgc:103700	mhc2dhb	mhc2dhb	ENSDARG00000116524	0
31117	taar19j	taar19j	taar19j	ENSDARG00000116526	0
31118	CT573303.2	CT573303.2	ct573303.2	ENSDARG00000116527	0
31119	AL954327.2	AL954327.2	al954327.2	ENSDARG00000116531	0
31120	BX936345.1	BX936345.1	bx936345.1	ENSDARG00000116532	0
31121	CU855896.3	vtrna4	vtrna4	ENSDARG00000116538	0
31122	CU570975.1	CU570975.1	cu570975.1	ENSDARG00000116540	0
31123	znf987	znf987	znf987	ENSDARG00000116546	0
31124	CR933001.1	CR933001.1	cr933001.1	ENSDARG00000116547	0
31125	CR388172.14	CR388172.14	cr388172.14	ENSDARG00000116549	0
31126	im:7142702	bcl11bb	bcl11bb	ENSDARG00000116556	1
31127	pimr81	pimr81	pimr81	ENSDARG00000116558	0
31128	BX649399.19	BX649399.19	bx649399.19	ENSDARG00000116559	0
31129	CT583723.2	mhc2d8.35a1	mhc2d8.35a1	ENSDARG00000116565	0
31130	pimr3	pimr3	pimr3	ENSDARG00000116567	0
31131	FO834825.3	FO834825.3	fo834825.3	ENSDARG00000116570	0
31132	BX914214.17	BX914214.17	bx914214.17	ENSDARG00000116572	0
31133	CABZ01117963.1	CABZ01117963.1	cabz01117963.1	ENSDARG00000116573	0
31134	si:dkey-28k24.2-3	si:dkey-28k24.2-3	si:dkey-28k24.2-3	ENSDARG00000116574	0
31135	CR352265.3	tmprss7	tmprss7	ENSDARG00000116575	0
31136	si:dkey-27d5.9	si:dkey-27d5.9	si:dkey-27d5.9	ENSDARG00000116576	0
31137	CR925713.2	CR925713.2	cr925713.2	ENSDARG00000116577	0
31138	BX321887.14	BX321887.14	bx321887.14	ENSDARG00000116579	0
31139	CT955987.1	CT955987.1	ct955987.1	ENSDARG00000116583	0
31140	opn7b	opn7b	opn7b	ENSDARG00000116584	0
31141	fthl27-1	fthl27-1	fthl27-1	ENSDARG00000116586	0
31142	znf980-1	znf980	znf980-1	ENSDARG00000116587	0
31143	BX601646.1	BX601646.1	bx601646.1	ENSDARG00000116588	0
31144	dre-mir-430c-1-16	mir430c-2	mir430c-2	ENSDARG00000116592	0
31145	DOK2	DOK2	dok2-1	ENSDARG00000116593	0
31146	CABZ01060113.2	CABZ01060113.2	cabz01060113.2	ENSDARG00000116594	0
31147	CR933757.1	CR933757.1	cr933757.1	ENSDARG00000116601	0
31148	pitx1	pitx1	pitx1	ENSDARG00000116608	0
31149	FP102120.4	FP102120.4	fp102120.4	ENSDARG00000116611	0
31150	BX571678.1	BX571678.1	bx571678.1	ENSDARG00000116613	0
31151	CABZ01002523.4	CABZ01002523.4	cabz01002523.4	ENSDARG00000116616	0
31152	spaca4l	spaca4l	spaca4l	ENSDARG00000116617	0
31153	si:ch73-27e22.8	si:dkey-182g1.3	si:dkey-182g1.3	ENSDARG00000116618	0
31154	BX571813.7	BX571813.7	bx571813.7	ENSDARG00000116620	0
31155	CR396582.3	CR396582.3	cr396582.3	ENSDARG00000116621	0
31156	ftr50-3	ftr50-3	ftr50-3	ENSDARG00000116623	0
31157	znf1141	znf1141	znf1141	ENSDARG00000116625	0
31158	BX571711.18	BX571711.18	bx571711.18	ENSDARG00000116626	0
31159	pimr160-2	pimr160-2	pimr160-2	ENSDARG00000116627	0
31160	ly97.3	ly97.3	ly97.3	ENSDARG00000116628	0
31161	CT025651.2	CT025651.2	ct025651.2	ENSDARG00000116629	0
31162	CU468227.1	CU468227.1	cu468227.1	ENSDARG00000116630	0
31163	BX649391.2	BX649391.2	bx649391.2	ENSDARG00000116633	0
31164	FP016064.1	FP016064.1	fp016064.1	ENSDARG00000116635	0
31165	CU302223.1	CU302223.1	cu302223.1	ENSDARG00000116636	0
31166	FP085363.1	FP085363.1	fp085363.1	ENSDARG00000116637	0
31167	CR749763.7	si:ch211-285d14.6	si:ch211-285d14.6	ENSDARG00000116640	0
31168	taar20f	taar20f	taar20f	ENSDARG00000116643	0
31169	BX927387.1	BX927387.1	bx927387.1	ENSDARG00000116646	0
31170	ube2e1	ube2e1	ube2e1	ENSDARG00000116649	0
31171	BX908777.9	BX908777.9	bx908777.9	ENSDARG00000116652	0
31172	CR388206.16	CR388206.16	cr388206.16	ENSDARG00000116653	0
31173	si:dkey-261m9.6	si:dkey-261m9.6	si:dkey-261m9.6	ENSDARG00000116654	0
31174	BX927164.2	BX927164.2	bx927164.2	ENSDARG00000116657	0
31175	taar18h	taar18h	taar18h	ENSDARG00000116658	0
31176	pigrl2.3-1	pigrl2.3	pigrl2.3-1	ENSDARG00000116660	0
31177	si:ch211-165a10.3	si:ch211-165a10.2	si:ch211-165a10.2-1	ENSDARG00000116661	0
31178	CABZ01078320.1	CABZ01078320.1	cabz01078320.1	ENSDARG00000116666	0
31179	taar10a	taar10a	taar10a-1	ENSDARG00000116668	0
31180	CABZ01001434.2	CABZ01001434.2	cabz01001434.2	ENSDARG00000116672	0
31181	CR354435.3	CR354435.3	cr354435.3	ENSDARG00000116673	0
31182	CR847906.2	CR847906.2	cr847906.2	ENSDARG00000116675	0
31183	pimr25	pimr25	pimr25	ENSDARG00000116676	0
31184	BX908777.10	BX908777.10	bx908777.10	ENSDARG00000116679	0
31185	zgc:56235	zgc:56235	zgc:56235	ENSDARG00000116680	0
31186	BX571711.19	BX571711.19	bx571711.19	ENSDARG00000116681	0
31187	CU138515.2	CU138515.2	cu138515.2	ENSDARG00000116683	0
31188	BX470211.2	BX470211.2	bx470211.2	ENSDARG00000116684	0
31189	CU651671.1	CU651671.1	cu651671.1	ENSDARG00000116686	0
31190	BX936298.3	BX936298.3	bx936298.3	ENSDARG00000116690	0
31191	BX470154.2	BX470154.2	bx470154.2	ENSDARG00000116691	0
31192	si:ch211-79g12.1	si:ch211-79g12.1	si:ch211-79g12.1	ENSDARG00000116692	0
31193	BX511132.2	BX511132.2	bx511132.2	ENSDARG00000116704	0
31194	AL844185.2	AL844185.2	al844185.2	ENSDARG00000116705	0
31195	BX537296.4	BX537296.4	bx537296.4	ENSDARG00000116707	0
31196	CU462817.10	CU462817.10	cu462817.10	ENSDARG00000116708	0
